id,type,nodeID0,nodeID1
89,0,176,177
90,0,177,178
91,0,179,180
92,0,180,181
93,0,180,182
94,0,182,183
95,0,184,185
96,0,201,203
97,0,204,205
98,0,205,206
99,0,206,201
100,0,204,207
101,0,207,208
103,0,187,188
104,0,188,189
105,0,189,190
106,0,190,191
107,0,191,192
110,0,194,195
111,0,195,196
112,0,196,197
113,0,197,198
114,0,198,199
116,0,187,209
117,0,209,192
118,0,194,210
119,0,210,199
120,0,201,200
121,0,200,179
